channel,band,n_day,n_night,t_stat,p_value,effect_g,power,mean_day,mean_night,q_value,significant_fdr
36,beta,17,14,0.6243386993235898,0.5382704027819081,0.21281092511653857,0.08802194083926841,0.11355806192177473,0.09971587184365345,0.8281356142478539,False
36,gamma,17,14,1.8031573396468632,0.08453732124614322,0.6127965920204739,0.3753251861322389,0.07826355334422697,0.051978417829549574,0.7733781459740232,False
37,delta,17,14,-0.7273013612963342,0.47915337444434347,-0.2668182092764014,0.11032212307703466,0.25182035454071316,0.3811751266750639,0.8281356142478539,False
37,theta,17,14,-0.11341784553398743,0.911050460219375,-0.04119997810586512,0.051398065333667566,0.16641747119295305,0.1723147986188557,0.9784348108695387,False
37,alpha,17,14,1.4649281590490184,0.15633007428875823,0.498280048958453,0.26652650865997174,0.1319669319845715,0.09680782112866058,0.7733781459740232,False
37,beta,17,14,1.1699570755656004,0.25483011827432245,0.3962556957803292,0.1858184265899656,0.10394776095921665,0.07536045672100737,0.8027148725641158,False
37,gamma,17,14,1.9824499144865675,0.06183260961941387,0.6679335090102854,0.4323657061575592,0.0931572486437709,0.04686348892182217,0.7733781459740232,False
38,delta,17,14,-0.7169048407734159,0.4855921413621139,-0.26329497671647495,0.10870354544954997,0.19958092939964672,0.29944372514422196,0.8281356142478539,False
38,theta,17,14,-0.11072567457825815,0.9132058234782361,-0.04030633551865815,0.05133802568447051,0.14048796816470202,0.14516737133530216,0.9784348108695387,False
38,alpha,17,14,1.0623839199393652,0.2977423376212493,0.36422969586014314,0.16424293297968767,0.10766566068710487,0.08678665649139937,0.8184733809152529,False
38,beta,17,14,0.6449876560255825,0.525519305411247,0.2188710942054015,0.0902584887422938,0.06903284225271754,0.05884750445157788,0.8281356142478539,False
38,gamma,17,14,1.2229721956381672,0.232792202739463,0.41771146956796934,0.20131163589253448,0.03085244207230075,0.025513224774734753,0.8027148725641158,False
